Project name,Is Vulnerable
aoi,false
jgroups,false
jhotdraw,false
maven,true
quilt,false
freecol,true
mvnforum,true
jtopen,false
marauroa,true
springframework,false
struts,true
wct,true
htmlunit,true
tomcat,true
fitlibraryforfitnesse,true
argouml,true
jspwiki,true
ant,false
proguard,false
eclipse_SDK,true
hibernate,true
webmail,false
informa,true
nekohtml,false
weka,false
antlr,false
jchempaint,false
c_jdbc,true
sablecc,false
ireport,true
james,true
compiere,true
megamek,true
checkstyle,false
quartz,false
freemind,true
hsqldb,false
jasperreports,true
cobertura,false
jedit,false
aspectj,false
findbugs,true
cayenne,false
jung,false
jfreechart,false
galleon,true
tapestry,true
jmeter,true
jboss,true
emma,false
roller,true
gt2,true
picocontainer,false
heritrix,true
jFin_DateMath,false
velocity,false
pmd,false
javacc,false
collections,false
derby,true
jstock,true
xerces,false
rssowl,true
junit,false
jruby,true
netbeans,true
hadoop,true
jpf,false
squirrel_sql,true
freecs,false
jena,false
drjava,false
azureus,false
castor,true
jre,false
jgrapht,true
ganttproject,true
